LEARNING_RATE,EMBED_DIM,MLP_DIMS,DROPOUT,BATCH_SIZE,best_val_rmse,final_train_rmse,final_val_rmse
0.003,32,"[256, 128, 64]",0.1,64,1.3877071548672764,1.3739505114876545,1.38925964574805
0.003,32,"[256, 128, 64]",0.2,64,1.3880495153129888,1.3808220265016913,1.3882606600562608
0.003,32,"[256, 128, 64]",0.3,64,1.3912144082433295,1.3862205472766744,1.3912144082433295
0.003,32,"[256, 128, 64]",0.4,64,1.39148706558034,1.390859987778529,1.39148706558034
0.003,32,"[256, 128, 64]",0.4,128,1.3961328341819896,1.3320543451246567,1.4044846174359822
0.003,32,"[256, 128, 64]",0.1,128,1.3967940339337417,1.2490952169221599,1.4251081492661921
0.003,32,"[256, 128, 64]",0.2,128,1.402781109793245,1.2730284980041313,1.4234851686516081
0.003,32,"[256, 128, 64]",0.3,128,1.405032433235874,1.3073783486915902,1.4145830208301025
0.003,32,"[256, 128, 64]",0.3,256,1.4267667999700282,1.0301472288985714,1.493010186168314
0.003,32,"[256, 128, 64]",0.2,256,1.4292977532157045,0.9935935884813696,1.511085547658956
0.003,32,"[256, 128, 64]",0.4,256,1.42957453317477,1.2153366938818406,1.451722150617594
0.003,32,"[256, 128, 64]",0.1,256,1.4333659617075811,0.8808186386499961,1.5464377195047612
0.003,32,"[256, 128, 64]",0.1,512,1.446305648737997,0.7930055876220305,1.5720379859955589
0.003,32,"[256, 128, 64]",0.3,512,1.4505798605380165,0.9468031210263586,1.548014656783887
0.003,32,"[256, 128, 64]",0.4,512,1.4560212413277611,1.0372665358614752,1.5178955660375506
0.003,32,"[256, 128, 64]",0.2,512,1.458072003688143,0.9056272624982833,1.5463708932082798
